instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weather_impact,day_type,holiday_type,day_holiday_type
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
